"officename","pincode","officeType","Deliverystatus","divisionname","regionname","circlename","Taluk","Districtname","statename","STC"
"Adarangi B.O","561101","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Magadi","Bangalore Rural","KARNATAKA","STC"
"Alahalli B.O","562117","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Kanakapura","Ramanagar","KARNATAKA","STC"
"Alanatha B.O","562119","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Kanakapura","Ramanagar","KARNATAKA","STC"
"Baginigere B.O","562131","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Magadi","Bangalore Rural","KARNATAKA","STC"
"Baragenahalli B.O","562111","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Nelamangala","Bangalore Rural","KARNATAKA","STC"
"Budigere B.O","562129","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Hoskote","Bangalore Rural","KARNATAKA","STC"
"Bylanarasapura B.O","562122","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Hoskote","Bangalore Rural","KARNATAKA","STC"
"Chakkalur B.O","562160","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Channapatna","Ramanagar","KARNATAKA","STC"
"Chakkere B.O","562160","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Channapatna","Ramanagar","KARNATAKA","STC"
"Chikkanahalli B.O","562130","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Bgsouth","Bangalore","KARNATAKA","STC"
"Chunchanakuppe B.O","562130","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Bg South","Bangalore","KARNATAKA","STC"
"Dasanapura B.O","562162","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Bangalore North","Bangalore","KARNATAKA","STC"
"Dobbespet S.O","562111","S.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Nelamangala","Bangalore Rural","KARNATAKA","STC"
"Doddajala B.O","562157","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Bg North","Bangalore","KARNATAKA","STC"
"Ganakal B.O","562109","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Ramangara","Ramanagar","KARNATAKA","STC"
"Gollahalli B.O","562119","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Kanakapura","Ramanagar","KARNATAKA","STC"
"Gundamgere B.O","561203","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Doddaballapura","Bangalore Rural","KARNATAKA","STC"
"Hadonahalli B.O","561205","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Dodballapura","Bangalore Rural","KARNATAKA","STC"
"Hanchaguli B.O","562119","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Kanakapura","Ramanagar","KARNATAKA","STC"
"Harobele B.O","562126","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Kanakapura","Ramanagar","KARNATAKA","STC"
"Hullegowdanahalli B.O","562162","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Nelamangala","Bangalore Rural","KARNATAKA","STC"
"Jagadapura B.O","562138","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Channapatna","Ramanagar","KARNATAKA","STC"
"Jalige B.O","562110","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Devanahalli","Bangalore Rural","KARNATAKA","STC"
"Jodidasarahalli B.O","562114","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Hoskote","Bangalore Rural","KARNATAKA","STC"
"Kaggala Halli B.O","562112","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Kanakapura","Ramanagar","KARNATAKA","STC"
"Kalludevanahalli B.O","562120","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Magadi","Ramanagar","KARNATAKA","STC"
"Karahalli B.O","562110","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Devanhalli","Bangalore Rural","KARNATAKA","STC"
"Karlamangala B.O","561201","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Magadi","Ramanagar","KARNATAKA","STC"
"Kattigenahalli B.O","562114","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Hoskote","Bangalore Rural","KARNATAKA","STC"
"Kempasagara B.O","562120","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Magadi","Ramanagar","KARNATAKA","STC"
"Kolagondanahalli B.O","562119","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Kanakapura","Ramanagar","KARNATAKA","STC"
"Kumbalahalli B.O","562114","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Hoskote","Bangalore Rural","KARNATAKA","STC"
"Mankunda B.O","562108","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Channapatna","Ramanagar","KARNATAKA","STC"
"Marasandra B.O","561101","B.O","Delivery","Channapatna","Bangalore HQ","Karnataka","Magadi","Bangalore Rural","KARNATAKA","STC"
